Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-1935,Prevent unconstrained delegation for computer accounts,Not Assessed,ISM-1935,Computer accounts are not configured for unconstrained delegation.
ISM-1836,Require Kerberos pre-authentication,Not Assessed,ISM-1836,User accounts require Kerberos pre-authentication.
ISM-1837,Do not set password never expires or not required,Not Assessed,ISM-1837,User accounts are not configured with password never expires or password not required.
ISM-1838,Do not use UserPassword attribute,Not Assessed,ISM-1838,The UserPassword attribute for user accounts is not used.
ISM-1936,Do not use sIDHistory,Not Assessed,ISM-1936,The sIDHistory attribute for user accounts is not used.
ISM-1937,Check sIDHistory weekly,Not Assessed,ISM-1937,User accounts are checked at least weekly for the presence of the sIDHistory attribute.
ISM-1839,Do not store passwords in accessible account properties,Not Assessed,ISM-1839,Account properties accessible by unprivileged users are not used to store passwords.
ISM-1840,Do not use reversible encryption for passwords,Not Assessed,ISM-1840,User account passwords do not use reversible encryption.
ISM-1841,Unprivileged users cannot add machines to domain,Not Assessed,ISM-1841,Unprivileged user accounts cannot add machines to the domain.
ISM-1842,Use dedicated privileged service accounts to add machines,Not Assessed,ISM-1842,Dedicated privileged service accounts are used to add machines to the domain.
ISM-1843,Review unconstrained delegation annually,Not Assessed,ISM-1843,"User accounts with unconstrained delegation are reviewed at least annually, and those without an SPN or demonstrated business requirement are removed."
ISM-1844,Non-DC computer accounts not trusted for delegation,Not Assessed,ISM-1844,Computer accounts that are not Microsoft AD DS domain controllers are not trusted for delegation to services.
ISM-1938,Domain Computers group has no write/modify AD permissions,Not Assessed,ISM-1938,The Domain Computers security group does not have write or modify permissions to any Microsoft Active Directory objects.
ISM-1620,Privileged users are in Protected Users group,Not Assessed,ISM-1620,Privileged user accounts are members of the Protected Users security group.
ISM-1939,Minimise members of highly-privileged groups,Not Assessed,ISM-1939,"The number of user accounts that are members of the Domain Admins, Enterprise Admins or other highly-privileged security groups is minimised."
ISM-1940,Service accounts not in privileged groups,Not Assessed,ISM-1940,"Service accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups."
ISM-1941,Computer accounts not in privileged groups,Not Assessed,ISM-1941,"Computer accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups."
ISM-1942,Domain Computers group not member of privileged groups,Not Assessed,ISM-1942,The Domain Computers security group is not a member of any privileged or highly-privileged security groups.
ISM-1845,Remove disabled accounts from groups,Not Assessed,ISM-1845,"When a user account is disabled, it is removed from all security group memberships."
ISM-1846,Pre-Windows 2000 group contains no user accounts,Not Assessed,ISM-1846,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.
ISM-1943,Enforce strong certificate-user mapping,Not Assessed,ISM-1943,Strong mapping between certificates and users is enforced.
ISM-1944,Remove EDITF_ATTRIBUTESUBJECTALTNAME2 flag from CA,Not Assessed,ISM-1944,The EDITF_ATTRIBUTESUBJECTALTNAME2 flag is removed from Microsoft AD CS CA configurations.
ISM-1945,Remove CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT from templates,Not Assessed,ISM-1945,The CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT flag is removed from certificate templates.
ISM-1946,Prevent unprivileged write access to certificate templates,Not Assessed,ISM-1946,Unprivileged user accounts do not have write access to certificate templates.
ISM-1947,Remove user-authentication EKUs,Not Assessed,ISM-1947,Extended Key Usages that enable user authentication are removed.
ISM-1948,Require CA approval for templates allowing SAN supply,Not Assessed,ISM-1948,CA Certificate Manager approval is required for certificate templates that allow a Subject Alternative Name to be supplied.
ISM-1949,Administer AD FS with dedicated service account,Not Assessed,ISM-1949,Microsoft AD FS servers are administered using a dedicated service account that is not used to administer other systems.
ISM-1950,Disable soft matching after initial sync,Not Assessed,ISM-1950,Soft matching between Microsoft AD DS and Microsoft Entra ID is disabled following initial synchronisation activities.
ISM-1951,Disable hard match takeover for Entra Connect,Not Assessed,ISM-1951,Hard match takeover is disabled for Microsoft Entra Connect servers.
ISM-1952,Do not sync privileged accounts between AD and Entra,Not Assessed,ISM-1952,Privileged user accounts are not synchronised between Microsoft AD DS and Microsoft Entra ID.
ISM-1978,Log security events for internet-facing server apps centrally,Not Assessed,ISM-1978,Security-relevant events for server applications on internet-facing servers are centrally logged.
ISM-1979,Log security events for non-internet-facing server apps centrally,Not Assessed,ISM-1979,Security-relevant events for server applications on non-internet-facing servers are centrally logged.
ISM-1546,Authenticate users before granting system access,Not Assessed,ISM-1546,Users are authenticated before they are granted access to a system and its resources.
ISM-1603,Disable replay-susceptible authentication methods,Not Assessed,ISM-1603,Authentication methods susceptible to replay attacks are disabled.
ISM-1055,Disable LAN Manager/NTLM auth methods,Not Assessed,ISM-1055,LAN Manager and NT LAN Manager authentication methods are disabled.
ISM-2076,Do not use security questions for auth,Not Assessed,ISM-2076,Security questions are not used for authentication purposes.
ISM-2077,Do not use email for out-of-band auth,Not Assessed,ISM-2077,Email is not used for out-of-band authentication purposes.
ISM-1504,Use MFA for org online services with sensitive data,Not Assessed,ISM-1504,"Multi-factor authentication is used to authenticate users to their organisation’s online services that process, store or communicate their organisation’s sensitive data."
ISM-1679,Use MFA for third-party services handling sensitive data,Not Assessed,ISM-1679,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation’s sensitive data."
ISM-1680,Use MFA (where available) for third-party non-sensitive services,Not Assessed,ISM-1680,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation’s non-sensitive data."
ISM-1892,Use MFA for customer services with sensitive customer data,Not Assessed,ISM-1892,"Multi-factor authentication is used to authenticate users to their organisation’s online customer services that process, store or communicate their organisation’s sensitive customer data."
ISM-1893,Use MFA for third-party customer services with sensitive data,Not Assessed,ISM-1893,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation’s sensitive customer data."
ISM-1681,Use MFA for customer authentication for sensitive data,Not Assessed,ISM-1681,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data."
ISM-1919,Disable non-MFA protocols when MFA used,Not Assessed,ISM-1919,"When multi-factor authentication is used to authenticate users or customers to online services or online customer services, all other authentication protocols that do not support multi-factor authentication are disabled."
ISM-1173,Use MFA for privileged users,Not Assessed,ISM-1173,Multi-factor authentication is used to authenticate privileged users of systems.
ISM-0974,Use MFA for unprivileged users,Not Assessed,ISM-0974,Multi-factor authentication is used to authenticate unprivileged users of systems.
ISM-1505,Use MFA for data repository users,Not Assessed,ISM-1505,Multi-factor authentication is used to authenticate users of data repositories.
ISM-1401,MFA uses possession+knowledge or possession unlocked by knowledge/biometrics,Not Assessed,ISM-1401,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are."
ISM-1872,Use phishing-resistant MFA for online services,Not Assessed,ISM-1872,Multi-factor authentication used for authenticating users of online services is phishing-resistant.
ISM-1873,Provide phishing-resistant MFA option for customer services,Not Assessed,ISM-1873,Multi-factor authentication used for authenticating customers of online customer services provides a phishing-resistant option.
ISM-1874,Customer MFA is phishing-resistant,Not Assessed,ISM-1874,Multi-factor authentication used for authenticating customers of online customer services is phishing-resistant.
ISM-1682,Use phishing-resistant MFA for system users,Not Assessed,ISM-1682,Multi-factor authentication used for authenticating users of systems is phishing-resistant.
ISM-1894,Use phishing-resistant MFA for data repository users,Not Assessed,ISM-1894,Multi-factor authentication used for authenticating users of data repositories is phishing-resistant.
ISM-2011,Disable weaker MFA when phishing-resistant used,Not Assessed,ISM-2011,"When phishing-resistant multi-factor authentication is used by user accounts, other non-phishing-resistant multi-factor authentication options are disabled for such user accounts."
ISM-1920,Prevent self-enrol from untrustworthy devices for sensitive MFA,Not Assessed,ISM-1920,"When multi-factor authentication is used to authenticate users to online services, online customer services, systems or data repositories – that process, store or communicate their organisation’s sensitive data or sensitive customer data – users are prevented from self-enrolling into multi-factor authentication from untrustworthy devices."
ISM-1683,Log successful/unsuccessful MFA events centrally,Not Assessed,ISM-1683,Successful and unsuccessful multi-factor authentication events are centrally logged.
ISM-0417,"When MFA unsupported, use passwords only",Not Assessed,ISM-0417,"When systems cannot support multi-factor authentication, single-factor authentication using passwords is implemented instead."
ISM-1895,Log successful/unsuccessful single-factor auth events,Not Assessed,ISM-1895,Successful and unsuccessful single-factor authentication events are centrally logged.
ISM-1559,Password min length for MFA on non-classified systems = 6,Not Assessed,ISM-1559,"Passwords used for multi-factor authentication on non-classified, OFFICIAL: Sensitive and PROTECTED systems are a minimum of 6 characters."
ISM-1560,Password min length for MFA on SECRET systems = 8,Not Assessed,ISM-1560,Passwords used for multi-factor authentication on SECRET systems are a minimum of 8 characters.
ISM-1561,Password min length for MFA on TOP SECRET systems = 10,Not Assessed,ISM-1561,Passwords used for multi-factor authentication on TOP SECRET systems are a minimum of 10 characters.
ISM-0421,Single-factor password min length for non-classified = 15,Not Assessed,ISM-0421,"Passwords used for single-factor authentication on non-classified, OFFICIAL: Sensitive and PROTECTED systems are a minimum of 15 characters."
ISM-1557,Single-factor password min length for SECRET systems = 17,Not Assessed,ISM-1557,Passwords used for single-factor authentication on SECRET systems are a minimum of 17 characters.
ISM-0422,Single-factor password min length for TOP SECRET systems = 20,Not Assessed,ISM-0422,Passwords used for single-factor authentication on TOP SECRET systems are a minimum of 20 characters.
ISM-1558,Passphrases not using predictable constructions; min words specified,Not Assessed,ISM-1558,"Passwords using a sequence of words for single-factor authentication are not constructed using:
• a list of categorised words
• a real sentence in a natural language
• song lyrics, movie or television show quotes, literature, or any other publicly available material
• less than 4 random words for non-classified, OFFICIAL: Sensitive and PROTECTED systems; 5 random words for SECRET systems; or 6 random words for TOP SECRET systems."
ISM-2078,Do not use compromised/common passwords,Not Assessed,ISM-2078,Passwords appearing in lists of commonly used passwords or lists of compromised passwords are not used.
ISM-2079,Password max length limits >=64 characters,Not Assessed,ISM-2079,Maximum length limits for passwords are not less than 64 characters.
ISM-2080,Do not impose password complexity requirements,Not Assessed,ISM-2080,Password complexity requirements are not imposed for passwords.
ISM-2081,Support all ASCII printable characters for passwords,Not Assessed,ISM-2081,All ASCII printable characters are supported for passwords.
ISM-1593,Require sufficient identity evidence for new credentials,Not Assessed,ISM-1593,Users provide sufficient evidence to verify their identity when requesting new credentials.
ISM-1227,Randomly generate credentials for user accounts,Not Assessed,ISM-1227,Credentials set for user accounts are randomly generated.
ISM-1594,Provide credentials via secure channel or split delivery,Not Assessed,ISM-1594,"Credentials are provided to users via a secure communications channel or, if not possible, split into two parts with one part provided to users and the other part provided to supervisors."
ISM-1595,Change provided credentials on first use,Not Assessed,ISM-1595,Credentials provided to users are changed on first use.
ISM-1596,Prevent credential reuse across systems,Not Assessed,ISM-1596,Credentials are not reused by users across different systems.
ISM-1953,Manage built-in Administrator credentials securely,Not Assessed,ISM-1953,"Credentials for the built-in Administrator account in each domain are long, unique, unpredictable and managed."
ISM-1685,Manage break glass/local admin/service account credentials securely,Not Assessed,ISM-1685,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed."
ISM-1795,Ensure admin/breakglass/service account creds are >=30 chars,Not Assessed,ISM-1795,"Credentials for built-in Administrator accounts, break glass accounts, local administrator accounts and service accounts are a minimum of 30 characters."
ISM-1954,Randomly generate admin/breakglass/service account creds,Not Assessed,ISM-1954,"Credentials for built-in Administrator accounts, break glass accounts, local administrator accounts and service accounts are randomly generated."
ISM-1619,Create service accounts as group Managed Service Accounts,Not Assessed,ISM-1619,Service accounts are created as group Managed Service Accounts.
ISM-1590,Change credentials if compromised or stored/transmitted in clear,Not Assessed,ISM-1590,"Credentials for user accounts are changed if:
• they are compromised
• they are suspected of being compromised
• they are discovered stored on networks in the clear
• they are discovered being transferred across networks in the clear
• membership of a shared user account changes."
ISM-1955,Change computer account creds if compromised or >30 days,Not Assessed,ISM-1955,"Credentials for computer accounts are changed if they are compromised, they are suspected of being compromised or they have not been changed in the past 30 days."
ISM-1847,Change KRBTGT service account creds twice after compromise,Not Assessed,ISM-1847,"Credentials for the Kerberos Key Distribution Center’s service account (KRBTGT) are changed twice, allowing for replication to all Microsoft AD DS domain controllers in-between each change, if the domain has been directly compromised, the domain is suspected of being compromised or they have not been changed in the past 12 months."
ISM-1956,Change AD FS token certs twice if compromised,Not Assessed,ISM-1956,"Microsoft AD FS token-signing and encryption certificates are changed twice in quick succession if they are compromised, they are suspected of being compromised or they have not been changed in the past 12 months."
ISM-1597,Obscure credentials during entry,Not Assessed,ISM-1597,Credentials are obscured as they are entered into systems.
ISM-1980,Do not use credential hint functionality,Not Assessed,ISM-1980,Credential hint functionality is not used for systems.
ISM-0418,Keep physical credentials separate from systems except during auth,Not Assessed,ISM-0418,"Physical credentials are kept separate from systems they are used to authenticate to, except for when performing authentication activities."
ISM-1402,Protect stored credentials with password manager/HSM/salting+hashing,Not Assessed,ISM-1402,"Credentials stored on systems are protected by a password manager; a hardware security module; or by salting, hashing and stretching them before storage within a database."
ISM-1957,Protect CA private keys in HSM,Not Assessed,ISM-1957,Private keys for Microsoft AD CS CA servers are protected by a hardware security module.
ISM-1896,Enable memory integrity functionality,Not Assessed,ISM-1896,Memory integrity functionality is enabled.
ISM-1861,Enable Local Security Authority protection,Not Assessed,ISM-1861,Local Security Authority protection functionality is enabled.
ISM-1686,Enable Credential Guard,Not Assessed,ISM-1686,Credential Guard functionality is enabled.
ISM-1897,Enable Remote Credential Guard,Not Assessed,ISM-1897,Remote Credential Guard functionality is enabled.
ISM-1749,Limit cached credentials to one previous logon,Not Assessed,ISM-1749,Cached credentials are limited to one previous logon.
ISM-1875,Scan networks monthly for credentials stored in clear,Not Assessed,ISM-1875,Networks are scanned at least monthly to identify any credentials that are being stored in the clear.
ISM-1403,Lock out accounts after max five failed logons,Not Assessed,ISM-1403,"User accounts, except for break glass accounts, are locked out after a maximum of five failed logon attempts."
ISM-0853,Terminate out-of-hours sessions daily and restart workstations,Not Assessed,ISM-0853,"On a daily basis, outside of business hours and after an appropriate period of inactivity, user sessions are terminated and workstations are restarted."
ISM-0428,Configure session lock with strict timeout and re-authentication,Not Assessed,ISM-0428,"Services are configured with a session lock that:
• activates after a maximum of 15 minutes of user inactivity, a maximum of 12 hours of overall session time or when manually activated by users
• blocks access to all session content
• requires users to re-authenticate using all authentication factors to unlock the session
• denies users the ability to disable the session locking mechanism."
ISM-2012,Configure screen lock with strict requirements,Not Assessed,ISM-2012,"Systems are configured with a screen lock that:
• activates after a maximum of 15 minutes of user inactivity, or when manually activated by users
• conceals all content on the screen
• ensures that the screen does not enter a power saving state before the screen lock is activated
• requires users to re-authenticate using all authentication factors to unlock the system
• denies users the ability to disable the screen locking mechanism."
ISM-0408,Systems have logon banner reminding security responsibilities,Not Assessed,ISM-0408,Systems have a logon banner that reminds users of their security responsibilities when accessing the system and its resources.
ISM-1460,Use secure-by-design isolation mechanisms for shared hardware,Not Assessed,ISM-1460,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism is from a vendor that has demonstrated a commitment to Secure by Design and Secure by Default principles and practices, including secure programming practices and either memory-safe programming languages or less preferably memory-safe programming practices."
ISM-1604,Harden isolation configs and restrict admin interfaces,Not Assessed,ISM-1604,"When using a software-based isolation mechanism to share a physical server’s hardware, the configuration of the isolation mechanism is hardened by removing unneeded functionality and restricting access to the administrative interface used to manage the isolation mechanism."
ISM-1605,Harden underlying OS when using software isolation,Not Assessed,ISM-1605,"When using a software-based isolation mechanism to share a physical server’s hardware, the underlying operating system is hardened."
ISM-1606,Patch isolation mechanisms and underlying OS promptly,Not Assessed,ISM-1606,"When using a software-based isolation mechanism to share a physical server’s hardware, patches, updates or vendor mitigations for vulnerabilities are applied to the isolation mechanism and underlying operating system in a timely manner."
ISM-1848,Replace isolation mechanism/OS when vendor support ends,Not Assessed,ISM-1848,"When using a software-based isolation mechanism to share a physical server’s hardware, the isolation mechanism or underlying operating system is replaced when it is no longer supported by a vendor."
ISM-1607,Perform integrity monitoring and logging for isolation mechanisms,Not Assessed,ISM-1607,"When using a software-based isolation mechanism to share a physical server’s hardware, integrity monitoring and centralised event logging is performed for the isolation mechanism and underlying operating system."
ISM-1461,Ensure same classification/security domain for shared hardware in SECRET/TOP SECRET,Not Assessed,ISM-1461,"When using a software-based isolation mechanism to share a physical server’s hardware for SECRET or TOP SECRET computing environments, the physical server and all computing environments are of the same classification and belong to the same security domain."
ISM-0042,System administration processes and procedures maintained,Not Assessed,ISM-0042,"System administration processes, and supporting system administration procedures, are developed, implemented and maintained."
ISM-1211,Admins follow system change/config plan,Not Assessed,ISM-1211,System administrators perform system administration activities in accordance with the system’s change and configuration management plan.
ISM-1898,Use Secure Admin Workstations for admin tasks,Not Assessed,ISM-1898,Secure Admin Workstations are used in the performance of administrative activities.
ISM-1380,Privileged users use separate privileged/unprivileged environments,Not Assessed,ISM-1380,Privileged users use separate privileged and unprivileged operating environments.
ISM-1687,Do not virtualise privileged environments within unprivileged ones,Not Assessed,ISM-1687,Privileged operating environments are not virtualised within unprivileged operating environments.
ISM-1688,Unprivileged accounts cannot logon to privileged environments,Not Assessed,ISM-1688,Unprivileged user accounts cannot logon to privileged operating environments.
ISM-1689,Privileged accounts cannot logon to unprivileged environments,Not Assessed,ISM-1689,Privileged user accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.
ISM-1958,DCSync accounts cannot logon to unprivileged environments,Not Assessed,ISM-1958,User accounts with DCSync permissions cannot logon to unprivileged operating environments.
ISM-1385,Segregate administrative infrastructure from network/internet,Not Assessed,ISM-1385,Administrative infrastructure is segregated from the wider network and the internet.
ISM-1750,Segregate admin infrastructure by server criticality,Not Assessed,ISM-1750,"Administrative infrastructure for critical servers, high-value servers and regular servers is segregated from each other."
ISM-1386,Network management traffic originates only from admin infrastructure,Not Assessed,ISM-1386,Network management traffic can only originate from administrative infrastructure.
ISM-1387,Conduct admin activities through jump servers,Not Assessed,ISM-1387,Administrative activities are conducted through jump servers.
ISM-1899,Non-admin network devices cannot initiate admin infra connections,Not Assessed,ISM-1899,Network devices that do not belong to administrative infrastructure cannot initiate connections with administrative infrastructure.
ISM-1143,Patch management processes maintained,Not Assessed,ISM-1143,"Patch management processes, and supporting patch management procedures, are developed, implemented and maintained."
ISM-0298,Centralised managed patching approach used,Not Assessed,ISM-0298,"A centralised and managed approach that maintains the integrity of patches or updates, and confirms that they have been applied successfully, is used to patch or update applications, operating systems, drivers and firmware."
ISM-1493,Software registers for IT equipment maintained,Not Assessed,ISM-1493,"Software registers for workstations, servers, network devices and networked IT equipment are developed, implemented, maintained and verified on a regular basis."
ISM-1643,Software registers include versions and patch histories,Not Assessed,ISM-1643,"Software registers contain versions and patch histories of applications, drivers, operating systems and firmware."
ISM-1807,Automated asset discovery used at least fortnightly,Not Assessed,ISM-1807,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.
ISM-1808,Use vulnerability scanner with up-to-date DB,Not Assessed,ISM-1808,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.
ISM-1698,Daily scanning for online service vulnerabilities,Not Assessed,ISM-1698,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in online services.
ISM-1699,Weekly scanning for office/browser/email/security products,Not Assessed,ISM-1699,"A vulnerability scanner is used at least weekly to identify missing patches or updates for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products."
ISM-1700,Fortnightly scanning for other applications,Not Assessed,ISM-1700,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products."
ISM-1701,Daily scanning for internet-facing OS of servers/network devices,Not Assessed,ISM-1701,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices.
ISM-1702,Fortnightly scanning for workstations/non-internet servers,Not Assessed,ISM-1702,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices."
ISM-1752,Fortnightly scanning for other IT equipment OS,Not Assessed,ISM-1752,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices."
ISM-1703,Fortnightly driver vulnerability scanning,Not Assessed,ISM-1703,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in drivers.
ISM-1900,Fortnightly firmware vulnerability scanning,Not Assessed,ISM-1900,A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in firmware.
ISM-1921,Assess compromise likelihood when working exploits exist,Not Assessed,ISM-1921,The likelihood of system compromise is frequently assessed when working exploits exist for unmitigated vulnerabilities.
ISM-1876,Apply critical online service patches within 48 hours for critical/exploited,Not Assessed,ISM-1876,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1690,Apply non-critical online service patches within two weeks,Not Assessed,ISM-1690,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1691,Apply patches for office/browser/email/security products within two weeks,Not Assessed,ISM-1691,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within two weeks of release."
ISM-1692,Apply critical patches for office/browser/email within 48 hours,Not Assessed,ISM-1692,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1901,Apply non-critical office/browser/email patches within two weeks,Not Assessed,ISM-1901,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1693,Apply app patches within one month for non-critical,Not Assessed,ISM-1693,"Patches, updates or other vendor mitigations for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, and security products are applied within one month of release."
ISM-1877,Apply critical internet-facing OS patches within 48 hours,Not Assessed,ISM-1877,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1694,Apply non-critical internet-facing OS patches within two weeks,Not Assessed,ISM-1694,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1695,Apply workstation/non-internet server OS patches within one month,Not Assessed,ISM-1695,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release."
ISM-1696,Apply critical patches for workstations within 48 hours,Not Assessed,ISM-1696,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1902,Apply non-critical workstation patches within one month,Not Assessed,ISM-1902,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1878,Apply critical patches for other IT equipment OS within 48 hours,Not Assessed,ISM-1878,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1751,Apply non-critical patches for other IT equipment within one month,Not Assessed,ISM-1751,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of IT equipment other than workstations, servers and network devices are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1879,Apply critical driver patches within 48 hours,Not Assessed,ISM-1879,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1697,Apply non-critical driver patches within one month,Not Assessed,ISM-1697,"Patches, updates or other vendor mitigations for vulnerabilities in drivers are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-1903,Apply critical firmware patches within 48 hours,Not Assessed,ISM-1903,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist."
ISM-1904,Apply non-critical firmware patches within one month,Not Assessed,ISM-1904,"Patches, updates or other vendor mitigations for vulnerabilities in firmware are applied within one month of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist."
ISM-0300,High-assurance IT patches only with ASD approval per methods/timeframes,Not Assessed,ISM-0300,"Patches, updates or other vendor mitigations for vulnerabilities in high assurance IT equipment are applied only when approved by ASD, and in doing so, using methods and timeframes prescribed by ASD."
ISM-1905,Remove unsupported online services,Not Assessed,ISM-1905,Online services that are no longer supported by vendors are removed.
ISM-1704,Remove unsupported office/browser/email/security products,Not Assessed,ISM-1704,"Office productivity suites, web browsers and their extensions, email clients, PDF applications, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
ISM-0304,Remove unsupported other applications,Not Assessed,ISM-0304,"Applications other than office productivity suites, web browsers and their extensions, email clients, PDF applications, Adobe Flash Player, and security products that are no longer supported by vendors are removed."
ISM-1501,Replace unsupported operating systems,Not Assessed,ISM-1501,Operating systems that are no longer supported by vendors are replaced.
ISM-1753,Replace unsupported internet-facing network devices,Not Assessed,ISM-1753,Internet-facing network devices that are no longer supported by vendors are replaced.
ISM-1981,Replace unsupported non-internet network devices,Not Assessed,ISM-1981,Non-internet-facing network devices that are no longer supported by vendors are replaced.
ISM-1982,Replace unsupported networked IT equipment,Not Assessed,ISM-1982,Networked IT equipment that is no longer supported by vendors is replaced.
ISM-1809,Implement compensating controls until removal/replacement possible,Not Assessed,ISM-1809,"When applications, operating systems, network devices or networked IT equipment that are no longer supported by vendors cannot be immediately removed or replaced, compensating controls are implemented until such time that they can be removed or replaced."
ISM-1510,Digital preservation policy maintained,Not Assessed,ISM-1510,"A digital preservation policy is developed, implemented and maintained."
ISM-1547,Data backup processes maintained,Not Assessed,ISM-1547,"Data backup processes, and supporting data backup procedures, are developed, implemented and maintained."
ISM-1548,Data restoration processes maintained,Not Assessed,ISM-1548,"Data restoration processes, and supporting data restoration procedures, are developed, implemented and maintained."
ISM-1511,Backups retained per business criticality,Not Assessed,ISM-1511,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements."
ISM-1810,Synchronise backups to common point in time,Not Assessed,ISM-1810,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time."
ISM-1811,Store backups securely and resiliently,Not Assessed,ISM-1811,"Backups of data, applications and settings are retained in a secure and resilient manner."
ISM-1812,Prevent unprivileged users accessing others' backups,Not Assessed,ISM-1812,Unprivileged user accounts cannot access backups belonging to other user accounts.
ISM-1813,Prevent unprivileged users accessing own backups,Not Assessed,ISM-1813,Unprivileged user accounts cannot access their own backups.
ISM-1705,Privileged users (except backup admins) cannot access others' backups,Not Assessed,ISM-1705,Privileged user accounts (excluding backup administrator accounts) cannot access backups belonging to other user accounts.
ISM-1706,Privileged users (except backup admins) cannot access own backups,Not Assessed,ISM-1706,Privileged user accounts (excluding backup administrator accounts) cannot access their own backups.
ISM-1814,Prevent unprivileged users modifying/deleting backups,Not Assessed,ISM-1814,Unprivileged user accounts are prevented from modifying and deleting backups.
ISM-1707,Prevent privileged users (except backup admins) modifying/deleting backups,Not Assessed,ISM-1707,Privileged user accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.
ISM-1708,Backup admins prevented from modifying/deleting during retention,Not Assessed,ISM-1708,Backup administrator accounts are prevented from modifying and deleting backups during their retention period.
