ISM Controls,,,,,,,,,,,,,,,Scoping Considerations,,,Provider Responsibilities,,,Consumer Responsibilities,,,
Guideline,Section,Topic,Identifier,Revision,Updated,NC,OS,P,S,TS,ML1,ML2,ML3,Description,"Administration
Environment","Cloud Production -
Common Controls ","Cloud Production -
Service Specific","Provider
Responsibility","Implementation
Status","Implementation
Comments","Consumer
Responsibility","Consumer Implementation
Required","Consumer Configuration
Required","Consumer
Guidance"
Guidelines for system hardening,User application hardening,Hardening user application configurations,ISM-1824,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PDF application security settings cannot be changed by users.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Hardening user application configurations,ISM-1601,1,Mar-22,Yes,Yes,Yes,Yes,Yes,No,No,No,Microsoft’s attack surface reduction rules are implemented.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Hardening user application configurations,ISM-1748,1,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Email client security settings cannot be changed by users.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Hardening user application configurations,ISM-1825,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Security product security settings cannot be changed by users.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1671,0,Sep-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1488,1,Sep-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macros in files originating from the internet are blocked.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1672,0,Sep-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macro antivirus scanning is enabled.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1673,0,Sep-21,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office macros are blocked from making Win32 API calls.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1674,0,Sep-21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1890,0,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros are checked to ensure they are free of malicious code before being digitally signed or placed within Trusted Locations.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1487,2,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Only privileged users responsible for checking that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1675,0,Sep-21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros digitally signed by an untrusted publisher cannot be enabled via the Message Bar or Backstage View.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1891,0,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros digitally signed by signatures other than V3 signatures cannot be enabled via the Message Bar or Backstage View.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1676,0,Sep-21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office’s list of trusted publishers is validated on an annual or more frequent basis.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,User application hardening,Microsoft Office macros,ISM-1489,0,Sep-18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macro security settings cannot be changed by users.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Server application selection,ISM-1826,1,Mar-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Vendors that have demonstrated a commitment to Secure by Design and Secure by Default principles and practices, including secure programming practices and either memory-safe programming languages or less preferably memory-safe programming practices, are used for server applications.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Server application releases,ISM-1483,2,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,The latest release of internet-facing server applications are used.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Hardening server application configurations,ISM-1916,0,Mar-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Approved configurations for server applications are developed, implemented and maintained.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Hardening server application configurations,ISM-1246,6,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"Server applications are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Hardening server application configurations,ISM-1260,7,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Default user accounts or credentials for server applications, including for any pre-configured user accounts, are changed, disabled or removed during initial setup.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Hardening server application configurations,ISM-1247,5,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unneeded user accounts, components, services and functionality of server applications are disabled or removed.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Hardening server application configurations,ISM-1245,3,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,All temporary installation files and logs created during server application installation processes are removed after server applications have been installed.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Restricting privileges for server applications,ISM-1249,4,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Server applications are configured to run as a separate user account with the minimum privileges needed to perform their functions.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Restricting privileges for server applications,ISM-1250,3,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The user accounts under which server applications run have limited access to their underlying server’s file system.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory services,ISM-1926,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Microsoft AD DS domain controllers, Microsoft AD CS CA servers, Microsoft AD FS servers and Microsoft Entra Connect servers are only used for their designed role and no other applications or services are installed, unless they are security related.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory services,ISM-1927,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Access to Microsoft AD DS domain controllers, Microsoft AD CS CA servers, Microsoft AD FS servers and Microsoft Entra Connect servers is limited to privileged users that require access.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory services,ISM-1928,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Backups of Microsoft AD DS domain controllers, Microsoft AD CS CA servers, Microsoft AD FS servers and Microsoft Entra Connect servers are encrypted, stored securely and only accessible to backup administrator accounts.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory services,ISM-1830,2,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Security-relevant events for Microsoft AD DS domain controllers, Microsoft AD CS CA servers, Microsoft AD FS servers and Microsoft Entra Connect servers are centrally logged.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1827,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Microsoft AD DS domain controllers are administered using dedicated domain administrator user accounts that are not used to administer other systems.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1929,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Lightweight Directory Access Protocol signing is enabled on Microsoft AD DS domain controllers.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1828,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,The Print Spooler service is disabled on Microsoft AD DS domain controllers.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1829,1,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Passwords are not stored in Group Policy Preferences.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1930,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Passwords are prevented from being stored in Group Policy Preferences.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1931,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,SID Filtering is enabled for domain and forest trusts.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1832,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Only service accounts and computer accounts are configured with Service Principal Names (SPNs).,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1932,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The number of service accounts configured with an SPN is minimised.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1933,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Service accounts configured with an SPN do not have DCSync permissions.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-2010,0,Mar-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Service accounts configured with an SPN use the Advanced Encryption Standard for encryption.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1834,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Duplicate SPNs do not exist within the domain.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1833,1,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts are provisioned with the minimum privileges required.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1934,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"User accounts with DCSync permissions are reviewed at least annually, and those without an ongoing requirement for the permissions have them removed.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1835,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Privileged user accounts are configured as sensitive and cannot be delegated.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1935,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Computer accounts are not configured for unconstrained delegation.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1836,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts require Kerberos pre-authentication.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1837,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts are not configured with password never expires or password not required.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1838,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,The UserPassword attribute for user accounts is not used.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1936,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The sIDHistory attribute for user accounts is not used.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1937,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts are checked at least weekly for the presence of the sIDHistory attribute.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1839,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Account properties accessible by unprivileged users are not used to store passwords.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1840,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,User account passwords do not use reversible encryption.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1841,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged user accounts cannot add machines to the domain.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1842,1,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Dedicated privileged service accounts are used to add machines to the domain.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1843,1,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"User accounts with unconstrained delegation are reviewed at least annually, and those without an SPN or demonstrated business requirement are removed.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1844,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Computer accounts that are not Microsoft AD DS domain controllers are not trusted for delegation to services.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1938,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The Domain Computers security group does not have write or modify permissions to any Microsoft Active Directory objects.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1620,1,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Privileged user accounts are members of the Protected Users security group.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1939,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"The number of user accounts that are members of the Domain Admins, Enterprise Admins or other highly-privileged security groups is minimised.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1940,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Service accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1941,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Computer accounts are not members of the Domain Admins, Enterprise Admins or other highly-privileged security groups.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1942,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The Domain Computers security group is not a member of any privileged or highly-privileged security groups.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1845,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"When a user account is disabled, it is removed from all security group memberships.",Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1846,0,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1943,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Strong mapping between certificates and users is enforced.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1944,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The EDITF_ATTRIBUTESUBJECTALTNAME2 flag is removed from Microsoft AD CS CA configurations.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1945,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,The CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT flag is removed from certificate templates.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1946,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged user accounts do not have write access to certificate templates.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1947,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Extended Key Usages that enable user authentication are removed.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Certificate Services,ISM-1948,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,CA Certificate Manager approval is required for certificate templates that allow a Subject Alternative Name to be supplied.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Active Directory Federation Services,ISM-1949,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Microsoft AD FS servers are administered using a dedicated service account that is not used to administer other systems.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Entra Connect,ISM-1950,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Soft matching between Microsoft AD DS and Microsoft Entra ID is disabled following initial synchronisation activities.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Entra Connect,ISM-1951,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Hard match takeover is disabled for Microsoft Entra Connect servers.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Microsoft Entra Connect,ISM-1952,0,Sep-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Privileged user accounts are not synchronised between Microsoft AD DS and Microsoft Entra ID.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Server application event logging,ISM-1978,0,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Security-relevant events for server applications on internet-facing servers are centrally logged.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Server application hardening,Server application event logging,ISM-1979,0,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Security-relevant events for server applications on non-internet-facing servers are centrally logged.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Authentication hardening,Authenticating to systems,ISM-1546,0,Aug-19,Yes,Yes,Yes,Yes,Yes,No,No,No,Users are authenticated before they are granted access to a system and its resources.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Authentication hardening,Insecure authentication methods,ISM-1603,0,Aug-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Authentication methods susceptible to replay attacks are disabled.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Authentication hardening,Insecure authentication methods,ISM-1055,4,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,LAN Manager and NT LAN Manager authentication methods are disabled.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for system hardening,Authentication hardening,Insecure authentication methods,ISM-2076,0,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,Security questions are not used for authentication purposes.,Applicable to administrative endpoints,Applicable to common cloud production environments as well as customer systems,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
